date,chirps_lag1d_mm,chirps_lag2d_mm,chirps_lag3d_mm,chirps_roll3d_mm,chirps_roll7d_mm,chirps_roll14d_mm,chirps_roll30d_mm,chirps_rainy_days_7d,chirps_rainy_days_30d,chirps_max3d_mm,chirps_max7d_mm,chirps_api,chirps_month_mean_mm,chirps_month_std_mm,chirps_anomaly,chirps_wet_spell_len,chirps_dry_spell_len
1984-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022846849652797437,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,41.0
1984-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01941982220487782,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,42.0
1984-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016506848874146145,0.19457311597335095,1.326292550845219,-0.19457311597335095,0.0,43.0
1985-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014030821543024223,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,44.0
1985-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01192619831157059,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,45.0
1985-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137268564835001,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,46.0
1985-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00861667828010975,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,47.0
1985-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007324176538093288,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,48.0
1985-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006225550057379295,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,49.0
1985-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052917175487724,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,50.0
1985-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00449795991645654,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,51.0
1985-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003823265928988059,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,52.0
1985-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032497760396398502,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,53.0
1985-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027623096336938727,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,54.0
1985-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023479631886397915,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,55.0
1985-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019957687103438226,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,56.0
1985-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016964034037922492,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,57.0
1985-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419428932234118,0.0023012397938824633,0.03167162505618588,-0.0023012397938824633,0.0,58.0
